ticket_id,purchase_date,price,customer_id,scan_date,scanned_by,discount_id,source,referrer_id,discount_pct,event_id,event_start,event_end,brand_id,venue_id,city_id,flyer_url
20050,2023-06-23 09:07:19.749568+00,10.8,11961,2023-07-01 21:39:22.636361+00,laura,Xo9xTzfadUU6Q4BF0TTgUE_40QaD0WXL,\N,\N,10,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20057,2023-06-23 17:52:04.542143+00,12,12452,2023-07-01 21:57:52.860416+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20047,2023-06-23 08:59:54.149969+00,12,12450,2023-07-01 22:48:12.069531+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20075,2023-06-24 19:13:17.351618+00,10,12457,\N,\N,\N,\N,\N,\N,10,2023-08-12 18:00:00+00,2023-08-13 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/AUG12_WEB.jpg
20076,2023-06-24 22:33:07.409693+00,12,12458,\N,\N,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20089,2023-06-25 14:27:59.118799+00,12,12464,2023-07-01 18:57:52.059009+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20090,2023-06-25 14:27:59.220347+00,12,12464,2023-07-01 18:57:57.070905+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20078,2023-06-25 06:11:25.710842+00,12,12459,2023-07-01 19:38:02.158824+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20077,2023-06-24 22:33:07.552386+00,12,12458,2023-07-01 19:52:01.109551+00,AnonymousUser,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20072,2023-06-24 19:13:17.071851+00,10,12457,2023-08-12 19:51:57.417778+00,jonathan,\N,\N,\N,\N,10,2023-08-12 18:00:00+00,2023-08-13 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/AUG12_WEB.jpg
20073,2023-06-24 19:13:17.17086+00,10,12457,2023-08-12 19:51:59.548154+00,jonathan,\N,\N,\N,\N,10,2023-08-12 18:00:00+00,2023-08-13 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/AUG12_WEB.jpg
20074,2023-06-24 19:13:17.260332+00,10,12457,2023-08-12 19:52:02.184463+00,jonathan,\N,\N,\N,\N,10,2023-08-12 18:00:00+00,2023-08-13 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/AUG12_WEB.jpg
20102,2023-06-26 06:09:58.330114+00,10,12469,2023-07-15 19:28:19.186418+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20101,2023-06-26 06:09:58.245054+00,10,12469,2023-07-15 19:28:21.879216+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20100,2023-06-26 06:09:58.154251+00,10,12469,2023-07-15 19:28:25.802216+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20099,2023-06-26 06:09:58.061332+00,10,12469,2023-07-15 19:28:28.231078+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20109,2023-06-26 09:12:02.094164+00,12,12472,2023-07-01 19:03:16.049742+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20110,2023-06-26 09:12:02.227351+00,12,12472,2023-07-01 19:03:18.561163+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20111,2023-06-26 09:15:02.588403+00,12,12472,2023-07-01 19:03:21.289499+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20151,2023-06-26 17:59:46.937634+00,12,12478,2023-07-01 19:37:56.385062+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20142,2023-06-26 16:15:53.851738+00,10,12475,2023-07-15 19:35:15.8962+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20144,2023-06-26 16:15:54.0597+00,10,12475,2023-07-15 19:35:25.634556+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20145,2023-06-26 16:15:54.14639+00,10,12475,2023-07-15 19:35:28.091664+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20113,2023-06-26 13:33:59.007168+00,10,12473,2023-07-15 23:23:42.945962+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20114,2023-06-26 13:33:59.130399+00,10,12473,2023-07-15 23:23:45.749432+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20115,2023-06-26 13:33:59.268673+00,10,12473,2023-07-15 23:23:48.061373+00,jonathan,\N,\N,\N,\N,3,2023-07-15 18:00:00+00,2023-07-15 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY15_WEB.jpg
20160,2023-06-27 10:01:19.920899+00,12,12481,\N,\N,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
